h,theta,speed
227,417.0623957796674,4.584035787586819
249,404.6171299539441,4.491724221544409
256,401.88403114988455,4.758071735271507
263,400.7479508942787,5.234166596503961
270,399.48848312141286,5.015050473232532
278,401.154197809217,4.486606912008716
286,400.7183479974979,4.786111644708856
292,402.35720610523805,5.62672601915705
298,401.7719000419803,5.7469474649424805
304,402.8114213962611,5.610537948216228
310,401.4933737160747,5.22027278841244
316,402.1133490626715,6.29103579101473
321,402.34019937077704,6.885472819612792
326,403.3489588546131,6.138209228448999
329,403.2360239863636,6.7014536661510204
332,402.0688434358517,6.1697366878643205
337,403.6023763309907,6.679583879547478
343,403.709747314708,7.166903676462374
351,403.6655886908038,7.769738210572923
359,404.60953490122944,6.8903094715963045
365,404.787873554629,7.195622241468539
371,404.3571361642993,7.486926005434527
376,403.51878143359875,7.956257155864167
381,403.02017276633654,7.9851322389293244
386,404.67530020446833,8.049237145315242
390,404.397906754202,7.256087094158854
393,404.1131595673132,8.074482210736342
397,403.67453773984454,8.432022582330294
402,404.88141518774756,8.386821781758986
407,403.5404464304489,8.197752761726179
412,403.0979103938336,8.154520886654952
417,403.30039392385976,7.446815702741705
421,402.62025839067104,8.379274589880424
425,403.7129521401656,7.996634815595427
431,402.85856004088004,7.970677745972731
438,402.4979283341431,7.461002021631869
446,402.49536584232794,8.24198695007929
453,400.4181223781296,7.669731322434982
459,401.2266153767585,9.030877529142145
464,399.359631617875,7.733721052425319
468,400.0224526826212,8.464112488708968
473,399.3550471620272,8.986841425370537
477,399.9947053945146,9.010690828738129
481,398.9164634964165,8.299474294044687
485,398.2531388505902,9.44979433868634
488,399.6336295750866,9.294329044969073
492,399.39174629044874,9.358793508943632
496,398.1778890613808,9.708596910709952
500,398.0544891161527,8.657994116151826
504,397.01007369748305,8.511428181839431
509,397.16695477623676,8.460796023920645
514,397.92189743748077,9.225217021383264
519,398.61487284396753,9.096680271315098
524,397.60912682210966,8.591872932492466
529,398.35528053672317,8.503340636133679
533,398.57072258269335,8.474057499899665
537,398.5458871421457,9.861912125682274
540,398.2766977069713,8.291276866946662
545,397.2698086895379,9.753509418584253
552,397.4775913435798,9.205416651520435
560,397.8420794087884,8.637841683290768
570,398.6528811615491,9.578426733517107
578,397.67825245807734,9.395550323701011
585,398.8475018103134,8.543119158151834
590,397.4400175919109,8.023741553062488
594,398.78491730396564,8.006697878368312
597,397.6568202072543,9.323109419566395
600,397.4014033548982,8.990754819413276
604,397.0104469806271,8.344619736101267
608,397.5831938712564,9.285713636713178
612,398.37398309687484,8.765786815716387
617,399.7919318576367,8.114582203665337
621,398.3009199789461,8.733918923988115
625,399.660480170591,8.302756971794752
629,399.6664711067443,9.08286473145019
634,398.4963707589448,8.060851359618287
638,398.17903284032434,8.364341641576498
643,398.74968351258303,7.670908218763878
649,398.16863221427883,8.592562180254466
654,398.13541721102945,8.754830742338314
660,399.5335784535226,8.330805054886344
665,398.36691652069766,7.73718015247127
670,398.47683580208536,8.85249078247567
676,400.2259276505444,7.776509969277245
681,399.35936378899356,8.065259985044678
685,399.77334508694935,8.825402500586875
686,400.1142112936783,8.326756726095727
692,399.5174394095234,8.939568702048296
698,400.00901566431287,7.918056361431426
704,400.1289528574831,7.882634657303728
710,399.86299800782353,8.504657729425785
716,400.60601374391825,7.859764813272272
723,400.0489763582186,7.673333700994813
730,401.32075476364133,8.460925250880559
736,400.381725032124,9.126830423171528
742,401.6571899258156,8.497196704834257
748,401.1976137564631,8.007262608589414
