height,u,v
7.160000000000000000e+02,7.107525433758747901e+00,1.182890874968915007e+01
7.220000000000000000e+02,7.159029241249752928e+00,1.191462547975936204e+01
7.280000000000000000e+02,7.210533048740757955e+00,1.200034220982957223e+01
7.340000000000000000e+02,7.210533048740757955e+00,1.200034220982957223e+01
7.400000000000000000e+02,7.262036856231762982e+00,1.208605893989978419e+01
7.460000000000000000e+02,7.313540663722768898e+00,1.217177566996999438e+01
7.510000000000000000e+02,7.577845478534828594e+00,1.212708777503689284e+01
7.570000000000000000e+02,7.630837404958149328e+00,1.221189258465253502e+01
7.630000000000000000e+02,7.683829331381469174e+00,1.229669739426817721e+01
7.700000000000000000e+02,7.736821257804789909e+00,1.238150220388382117e+01
7.760000000000000000e+02,8.006193814720898416e+00,1.232845734879773225e+01
7.810000000000000000e+02,8.006193814720898416e+00,1.232845734879773225e+01
7.810000000000000000e+02,8.060657718222401513e+00,1.241232440559227612e+01
7.870000000000000000e+02,8.115121621723904610e+00,1.249619146238681822e+01
7.920000000000000000e+02,8.331974261714126584e+00,1.235265983107012389e+01
7.980000000000000000e+02,8.387893552061200353e+00,1.243556358832562836e+01
8.040000000000000000e+02,8.661004188900797374e+00,1.236919586876377330e+01
8.090000000000000000e+02,8.718361832535901357e+00,1.245111107319267241e+01
8.140000000000000000e+02,8.718361832535901357e+00,1.245111107319267241e+01
8.190000000000000000e+02,8.993114360074837776e+00,1.237796001393669698e+01
8.230000000000000000e+02,9.051892885304084757e+00,1.245886171337419057e+01
8.280000000000000000e+02,9.051892885304084757e+00,1.245886171337419057e+01
8.340000000000000000e+02,9.328132858856749365e+00,1.237885040573303819e+01
8.390000000000000000e+02,9.328132858856749365e+00,1.237885040573303819e+01
8.450000000000000000e+02,9.388314361171953948e+00,1.245871395673776760e+01
8.500000000000000000e+02,9.388314361171953948e+00,1.245871395673776760e+01
8.560000000000000000e+02,9.665885162612832815e+00,1.237176883162553587e+01
8.610000000000000000e+02,9.665885162612832815e+00,1.237176883162553587e+01
8.660000000000000000e+02,9.727451310145399432e+00,1.245056990698620858e+01
