geopotential height_m,wind direction_degree,wind speed_m/s
2127,242,19.1
2132,242,19.1
2137,242,19.1
2142,242,19.2
2146,242,19.2
2150,242,19.2
2154,242,19.1
2157,242,19.1
2161,243,19.1
2165,243,19.1
2169,243,19.1
2172,243,19.1
2176,243,19.1
2181,243,19
2185,243,19
2189,243,19
2194,242,19
2200,242,19
2205,242,19
2211,242,18.9
2216,242,18.9
2221,242,18.9
2226,241,18.9
2230,241,18.9
2233,241,18.8
2237,241,18.8
2240,241,18.8
2244,240,18.8
2247,240,18.8
2250,240,18.7
2253,240,18.7
2257,239,18.7
2261,239,18.7
2266,239,18.6
2272,239,18.6
2277,239,18.5
2282,239,18.5
2288,239,18.4
2293,239,18.4
2297,238,18.3
2301,238,18.3
2304,238,18.2
2308,238,18.1
2312,238,18.1
2317,238,18
2323,238,18
2329,238,17.9
2335,238,17.9
2340,238,17.8
2345,238,17.8
2349,238,17.7
2353,238,17.7
2357,238,17.7
2361,238,17.7
2365,238,17.7
2369,238,17.7
2374,238,17.8
2378,238,17.8
2383,238,17.8
2389,238,17.9
2394,238,18
2400,238,18.1
2406,238,18.2
2411,238,18.3
2416,238,18.4
2422,238,18.5
2427,238,18.6
2432,238,18.7
2438,238,18.8
2444,238,18.9
2449,239,19
2454,239,19.2
2459,239,19.3
2464,239,19.4
2468,239,19.5
2472,239,19.5
2476,240,19.6
2480,240,19.7
2483,240,19.7
2486,240,19.8
2490,241,19.8
2493,241,19.8
2498,241,19.8
2502,241,19.8
2507,241,19.8
2512,242,19.7
2516,242,19.7
2519,242,19.7
2522,242,19.6
2526,242,19.5
2529,243,19.5
2532,243,19.4
2536,243,19.3
2541,243,19.3
2545,243,19.2
2550,243,19.1
2555,243,19.1
2561,243,19
2566,243,18.9
2571,243,18.9
2575,243,18.9
2579,243,18.8
2582,243,18.8
2586,243,18.8
2590,243,18.8
2595,243,18.8
2599,242,18.8
2603,242,18.8
2606,242,18.9
2610,242,18.9
2613,242,19
2616,241,19
2620,241,19.1
2623,241,19.1
2626,241,19.2
2630,241,19.3
2633,240,19.4
2636,240,19.5
2639,240,19.6
2642,240,19.7
2646,240,19.7
2649,240,19.8
2653,239,19.9
2657,239,20
2661,239,20.1
2666,239,20.1
2671,239,20.2
2676,239,20.3
2681,239,20.3
2686,239,20.4
2690,239,20.4
2693,239,20.4
2697,239,20.4
2701,239,20.4
2705,239,20.4
2709,239,20.3
2713,239,20.3
2717,240,20.2
2720,240,20.2
2723,240,20.1
2726,240,20
2730,241,19.9
2735,241,19.8
2740,241,19.7
2745,242,19.6
2751,242,19.5
2756,242,19.4
2762,243,19.3
2768,243,19.2
2774,243,19.1
2780,244,19.1
2786,244,19
2791,244,18.9
2795,245,18.9
2799,245,18.9
2802,245,18.8
2805,245,18.8
2808,246,18.8
2811,246,18.9
2815,246,18.9
2818,246,18.9
2823,246,19
2827,246,19
2832,246,19.1
2836,246,19.2
2841,246,19.2
2846,246,19.3
2850,246,19.3
2855,245,19.4
2860,245,19.4
2865,245,19.5
2871,245,19.5
2877,245,19.6
2883,245,19.6
2888,245,19.6
2892,245,19.6
2896,245,19.6
2899,244,19.6
2902,244,19.6
2906,244,19.6
2910,244,19.5
2914,244,19.5
2918,244,19.5
2922,244,19.4
2926,244,19.4
2930,244,19.3
2935,244,19.3
2940,244,19.3
2944,244,19.2
2949,244,19.2
2953,244,19.2
2958,244,19.2
2962,244,19.2
2967,244,19.2
2972,243,19.2
2977,243,19.2
2982,243,19.2
2986,243,19.2
2991,243,19.3
2994,243,19.3
2998,243,19.3
3002,243,19.3
3005,242,19.3
3009,242,19.4
3012,242,19.4
3016,242,19.4
3020,242,19.4
3024,242,19.4
3029,242,19.4
3034,242,19.4
3038,242,19.4
3042,242,19.4
3046,242,19.4
3050,242,19.3
3055,242,19.3
3060,242,19.3
3065,242,19.2
3069,242,19.2
3073,242,19.1
3077,242,19
3080,242,19
3084,242,18.9
3089,242,18.9
3095,242,18.8
3101,242,18.7
3107,242,18.7
3112,242,18.6
3117,242,18.6
3122,242,18.5
3127,242,18.5
3131,242,18.5
3136,242,18.5
3140,242,18.5
3140,242,18.4
3144,242,18.4
3148,242,18.5
3153,243,18.5
3158,243,18.5
3163,243,18.5
3169,243,18.5
3174,243,18.6
3178,243,18.6
3182,243,18.7
3186,243,18.8
3190,243,18.8
3194,243,18.9
3197,243,19
3201,243,19
3206,243,19.1
3210,243,19.2
3214,243,19.2
3218,243,19.3
3222,243,19.4
3227,243,19.4
3232,243,19.5
3237,243,19.6
3243,243,19.6
3249,243,19.7
3254,243,19.7
3258,243,19.7
3262,243,19.8
3266,243,19.8
3270,243,19.8
3274,243,19.9
3279,242,19.9
3284,242,19.9
3289,242,19.9
3294,242,20
