h,theta,speed
1730,228,11.3
1735,228,11.3
1740,227,11.2
1744,227,11.2
1750,227,11.1
1754,227,11
1759,227,11
1763,227,10.9
1766,226,10.8
1770,226,10.8
1774,226,10.7
1778,226,10.6
1782,226,10.5
1786,227,10.5
1792,227,10.4
1797,227,10.4
1802,227,10.3
1807,227,10.3
1812,227,10.2
1816,228,10.2
1820,228,10.2
1823,228,10.2
1827,228,10.1
1830,229,10.1
1832,229,10.1
1835,229,10.1
1838,229,10.2
1841,230,10.2
1845,230,10.2
1848,230,10.2
1852,231,10.2
1856,231,10.3
1861,231,10.3
1865,232,10.3
1869,232,10.3
1873,232,10.4
1877,233,10.4
1882,233,10.4
1887,233,10.5
1891,234,10.5
1896,234,10.5
1900,235,10.6
1904,235,10.6
1908,235,10.7
1912,236,10.7
1915,236,10.8
1919,237,10.8
1923,237,10.9
1927,237,11
1932,237,11
1936,237,11.1
1940,238,11.2
1943,238,11.2
1947,238,11.3
1951,238,11.3
1955,238,11.4
1959,238,11.4
1962,238,11.5
1966,238,11.5
1971,238,11.5
1975,237,11.5
1978,237,11.5
1982,237,11.5
1986,237,11.4
1990,237,11.4
1993,237,11.3
1997,236,11.2
2000,236,11.1
2005,236,11
2010,236,10.9
2014,236,10.7
2019,236,10.6
2024,236,10.5
2029,236,10.3
2034,236,10.2
2039,236,10
2044,236,9.9
2048,236,9.8
2052,236,9.7
2056,236,9.6
2060,236,9.5
2063,236,9.5
2068,237,9.4
2072,237,9.4
2076,237,9.3
2081,237,9.3
2085,237,9.3
2089,237,9.4
2093,237,9.4
2098,238,9.4
2103,238,9.5
2107,238,9.5
2112,238,9.6
2115,239,9.6
2119,239,9.7
2122,239,9.7
2125,239,9.8
2128,239,9.8
2131,240,9.9
2134,240,9.9
2137,240,9.9
2140,240,10
2144,241,10
2148,241,10
2151,241,10
2155,241,10
2159,241,10
2163,241,9.9
2167,242,9.9
2172,242,9.9
2176,242,9.9
2181,242,9.9
2186,242,9.8
2190,242,9.8
2193,242,9.8
2197,242,9.8
2200,242,9.8
2203,242,9.8
2207,242,9.8
2212,242,9.8
2216,242,9.8
2221,242,9.8
2225,242,9.8
2229,242,9.8
2234,242,9.9
2238,242,9.9
2243,243,9.9
2248,243,9.9
2253,243,10
2258,243,10
2263,244,10
2267,244,10.1
2272,244,10.1
2276,244,10.2
2280,245,10.2
2284,245,10.2
2287,245,10.3
2291,246,10.3
2294,246,10.4
2298,246,10.4
2303,246,10.5
2308,247,10.5
2314,247,10.6
2319,247,10.6
2323,247,10.6
2327,247,10.7
2331,247,10.7
2335,247,10.8
2340,247,10.8
2345,247,10.9
2351,247,10.9
2357,247,11
2363,247,11
2368,247,11.1
2373,247,11.1
2378,247,11.2
2383,247,11.2
2387,246,11.2
2392,246,11.3
2396,246,11.3
2401,246,11.4
2406,246,11.4
2412,246,11.4
2418,246,11.4
2423,246,11.4
2428,246,11.4
2432,246,11.4
2437,246,11.4
2441,246,11.4
