h,theta,speed
227,322.5524809352728,10.376845816940888
238,331.9822890438875,7.909040512101844
245,337.906890116551,7.940422205991836
252,338.9279568113546,8.049785767249315
259,338.08988214814855,9.511312302354193
265,338.3238628228843,9.966446750458632
271,337.82754323381397,10.068041398231694
278,338.5665951459419,10.522718272575952
283,338.28193612257223,10.633543788811872
289,336.8433175387453,11.536963851642062
294,337.4071433351706,12.235177250365824
299,336.3982314679122,12.067838524806275
304,337.9287138767742,13.231512898307724
310,336.84903520626506,12.868573710399211
315,336.18391825810824,14.123044230692985
321,335.8203628975695,13.7862569015915
325,335.40570930633817,13.618789723240992
330,336.4352208523023,13.870925752600844
335,335.83764370413815,15.501442777207721
340,334.7653410836343,14.64492353811998
346,334.63247086632975,14.338147066946988
352,334.2949619662714,14.571454931404107
358,334.8263004159642,14.47448576871018
364,333.4151326033302,14.475317808779051
370,332.22611849014686,15.702503362102563
376,332.8454659276326,15.523220209365418
382,331.6708425163827,15.091651330992807
388,331.15758628099996,14.55911381115609
395,330.22057192407925,13.878544237579767
402,330.06523194907373,13.994354560119891
409,329.9584243301944,13.86960426788623
417,328.48863288169815,14.2040114603959
423,327.0658373565821,14.887513057491013
430,327.5928648234658,13.329656609760029
436,327.1288667953209,13.471184992503623
442,325.7475018223423,13.031055262475517
449,326.3822694689068,13.106092356176234
455,325.34530321785155,13.795143226606042
462,325.6326635043365,12.929388730029817
468,326.0806434467593,14.436465810023583
474,326.8437775821962,13.481194603103821
480,326.4486728351865,13.745415503533437
486,325.90381693909154,14.090724572125147
491,325.4085328387796,14.23033914178334
497,326.57866968200216,13.83084477242886
503,326.4534238877973,13.449371400140034
509,327.30860762370276,14.504005561199001
514,327.45559521163426,15.058512961488534
519,327.46444982539094,14.67598265526154
524,328.78996369626367,14.21357298503656
528,330.00009163848034,13.844927401866249
533,330.12840331148806,14.922242470527703
538,331.10350506224614,15.657289854306487
544,331.8547520713648,14.394144874815451
549,332.4276039875243,15.437730293387679
556,332.3144907892388,15.86539349849259
562,334.1990378483147,16.2789845911135
569,334.32886476160274,16.191238243422323
575,334.73744865003283,15.6124625782182
581,335.1335611820192,16.280368400023278
586,336.19040384528626,15.246448983917166
591,336.28634525687534,15.505535559080231
596,337.4029274380523,15.449398835032108
600,338.7947841067482,15.915076837543918
605,338.63627511477824,15.493922128700003
608,339.86726472461686,16.07623021404309
613,340.16210219835506,15.790627183182387
617,340.90057749004006,16.776960556559388
621,339.5055059612099,16.101925388592036
626,341.16231953691283,16.528510975467753
631,341.28314823400547,15.880106481949024
636,340.80856501624464,15.440920557387365
642,341.9637842253546,16.12250790956396
648,341.1379433628702,15.671679399896979
655,342.080287532118,16.233264472126923
662,341.7206475568434,15.91567158140685
669,342.03901301227893,15.47895938162689
676,341.3395609031868,15.552448814862663
682,342.6742127633688,16.060000168130163
687,342.2885548567121,15.516723517406799
692,341.25836159294795,16.663639182148447
698,342.3926905683699,15.479513904333636
704,341.00362981328107,16.94532335450064
709,342.8436930856056,16.987907271798502
714,342.9751790908814,15.995348361782348
719,341.45210926712775,16.285548730436254
724,342.80437267548524,16.969522250119066
730,342.5569127377033,16.076772537958238
735,341.24100236804577,17.233118118709875
741,342.20619180666324,17.273519650383175
746,341.16185929059367,17.047778289108876
751,342.97157314563873,16.390009969188682
756,343.0238559132902,16.796831220069915
760,342.5315241166473,17.37704464958403
766,342.2162695791766,16.64296160247446
771,342.4887162678994,17.63469365685111
776,343.9197372371861,17.605345093120576
781,343.7065363139467,17.69845717103638
785,344.7784589978163,16.816124504312864
789,345.32330068746603,17.117545389429093
794,344.0877884671114,17.863302149229426
799,346.47374658957693,18.140617793847053
804,346.32532019601626,17.10098296394645
809,346.0939049007441,18.191167666638883
814,346.7354750751546,17.85807447147476
815,347.4260015979193,17.020544128915372
819,347.5105562535371,18.452020314673767
822,348.313221091662,18.34538638912656
826,348.1511119819257,16.958681573015795
828,347.11571561624265,16.873853320362095
831,349.1616449320022,17.54427981711977
834,348.9291775655807,17.76949767826787
836,348.05459232210626,17.858861529077128
840,349.32016920886525,17.243996155518442
843,349.70347255446416,17.591579288272815
847,350.6927159588282,17.958901451596315
850,350.83826065783524,17.94924378139329
853,350.1204306555747,17.85861729198332
856,350.8080228798126,16.76549206713255
859,349.8212445584514,17.219780129338552
862,350.56856586515806,16.658918442983055
866,351.9988051030489,17.622194844008302
869,351.95000349820526,17.266949866532435
873,351.97782406518064,17.872910849681613
876,350.41831171674016,18.15410440824885
880,351.19183435300334,17.46037656326636
884,351.2525841746828,17.81726976186044
888,351.60065675848114,17.336797354026906
892,352.5419136080261,18.370658761399987
897,353.571983781465,17.13322978093262
902,352.0369714806555,17.72457869190976
907,354.2747901921935,17.203327076308653
911,353.7045404773574,18.21882150564058
914,353.1763851510941,17.816291690403883
918,354.7870354549876,18.55306345718287
922,355.5486048587064,18.969303752467066
925,355.8935633486388,18.15034740215471
929,356.5186593982524,18.244026919731795
932,355.31847869966276,18.00133374280796
936,357.12320200418486,18.55157723992903
939,356.17688074808785,18.732192176871642
942,357.86026391665735,18.183776850203802
945,357.96800884769925,19.020289785821923
948,357.77534961214417,19.41218624903048
951,358.13281833071864,18.147568439336034
954,357.8167188987956,18.767706080671918
956,358.1421114686753,18.50406996367459
959,357.43623627340946,18.75319411353383
962,358.38251894451304,19.196439411172836
965,358.0359374341889,19.154400129221386
968,358.82532349189216,18.18244954125894
971,359.24463741749963,19.417465145209494
974,359.6469316507433,18.882184159857832
978,359.24998365323466,18.090453578177463
982,359.9562857441296,18.42679594486135
985,359.9610487206374,18.987879197885196
989,358.96226730668826,17.968650076871125
992,359.69486772858596,18.900961384644905
996,359.9300278010506,17.626967215484793
999,358.1399631285968,18.964492133126488
1003,359.62755019805326,17.75443354878598
1006,359.66365671165005,17.817272255331805
1010,360.8840307036651,18.362727257010654
1014,359.7302007760556,17.788685293269285
1018,359.59346908561673,17.71528107293327
1022,359.9463965001838,18.18396539725571
1027,359.79786130872475,18.573516745992446
1030,360.7353878331549,18.77965466625827
1034,361.10223989312743,18.48633859538615
1038,360.0234862832754,18.502496840910293
1041,360.7713492042841,18.847202073822825
1045,361.507642766688,18.119026964180193
1048,361.0964873319567,17.479845439755483
1052,361.32903842018925,18.823553172445315
1055,362.8910572457684,18.296595993800278
1059,361.56200336654945,18.21295252457323
1062,362.2502643485338,18.64394938862842
1066,362.8029830759449,19.146606643941208
1069,363.6954265740468,18.53900433077681
1073,362.8093643303358,18.02444775287235
1077,363.39618569452256,17.901007532361074
1080,363.4563176533418,18.203620273138338
1084,365.60795127423563,18.78457882710097
1088,364.3103355491963,18.8234351918317
1092,365.80923351847315,18.916656842470058
1097,366.5984007622414,19.35691104279535
1101,367.39061051593467,18.535033760809327
1106,366.8293877308969,18.103439659497706
1110,368.50832337582204,19.235791260004785
1115,367.20528347285784,19.135771501560566
1119,369.95748351863125,18.150122694720825
1122,370.9842441534495,19.010470800666816
1126,370.99990257552116,18.031150771205535
1129,370.669168897895,18.949173294673493
1132,372.6860839815916,18.613519674744342
1135,372.6729810138597,18.54465736067755
1138,373.52645282496314,19.145047615187615
1141,373.43941583038793,18.406896338521555
1144,374.0178448987578,18.649382071406336
1149,374.9240743313011,17.697676339071112
1153,375.66521059164967,18.549778715633895
1158,374.06345746434033,18.94975642729054
1163,375.0334640077717,18.43284927858228
1167,375.408104982093,19.06421581421042
1172,376.6643854113973,18.939550773451632
1175,375.03189630853905,18.28198892240603
1179,376.69306559083424,18.672399958237367
1183,376.73273253427016,18.60399577933418
1186,376.1401237919093,18.599804625802246
1189,375.6259955428354,19.189247001187695
1192,375.5352954336744,18.752073017587588
1195,375.2671835866282,18.866920575047168
1199,376.8714711073284,18.783709923518902
1203,376.52809942508196,17.833531067787415
1207,375.0700718479484,17.95058906120148
1212,374.2722599248872,18.61266866660028
1217,375.13834765422195,19.0118977596541
1221,375.330150406255,18.283391591925866
1226,375.36266579936466,17.987365389718626
1230,374.22972043599714,19.16632417766498
1235,374.30277972340104,18.774205803543843
1239,374.3782777520514,18.757646442955622
1244,374.1350625265546,18.834761030358482
1248,373.48278483365567,18.362440083490426
1253,374.7838757514781,18.69849488637065
1258,374.1137558347319,18.9493855299946
1262,374.17802995221757,19.129055546799506
1267,374.5355940695755,19.195870524399375
1271,374.3381265793879,18.174646957127237
1275,374.6819759656905,19.114977140474473
1279,374.7656683009122,18.745823991110214
1283,374.2199483849201,19.292002898354152
1288,374.66673543862464,18.404443217883266
1291,373.8011152199996,18.299268443845296
1295,374.76030378773163,19.503414415498657
1298,373.0487696185656,18.61600203401577
1301,373.6698778151106,18.32245862665328
1304,373.2135707293678,19.655557276281645
1306,374.9849828971347,19.59443899620051
1309,374.6823554197348,18.322096586482694
1312,374.7310579670338,18.78188144887412
1315,374.00722264618156,18.28340722079256
